Area,Year,Month,Time,Crime Type,Latitude,Longitude
BMTC BUS STAND,2021,12,,THEFT,12.9816,77.6055
BMTC BUS STAND,2019,7,,MISSING PERSON,12.9826,77.6021
BP Wadia Road,2020,2,,THEFT,12.8764,77.8741
BRANDAVAN LAYOUT,2016,9,,THEFT,77.5513,12.8949
BRANDAVAN LAYOUT,2018,3,,CrPC,77.5684,12.8838
BRANDAVAN LAYOUT,2017,5,,CASES OF HURT,77.5569,12.9117
BRANDAVAN LAYOUT,2022,3,,ROBBERY,12.9049,77.538
BRANDAVAN LAYOUT,2017,9,,Karnataka State Local Act,77.5588,12.9139
BRANDAVAN LAYOUT,2018,3,,THEFT,77.5427,12.9059
BSK RING ROAD,2019,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9232,77.5529
BSK RING ROAD,2024,3,,PUBLIC SAFETY,12.9305,77.5474
BTM SECOND STAGE,2016,9,,BURGLARY - NIGHT,12.915,77.61
BTM SECOND STAGE,2023,4,,CHEATING,12.0909,77.6017
BTM SECOND STAGE,2023,11,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9146,77.6003
BTM SECOND STAGE,2017,1,,THEFT,12.9081,77.605
BTM SECOND STAGE,2023,11,,CYBER CRIME,12.9099,77.6069
BTM SECOND STAGE,2021,4,,THEFT,12.9178,77.6134
BTM SECOND STAGE,2022,2,,THEFT,12.915,77.6015
BTM SECOND STAGE,2016,6,,THEFT,12.9061,77.6068
BTM SECOND STAGE,2023,12,,THEFT,12.9109,77.6058
BYAGADADENAHALLI,2020,2,,KARNATAKA POLICE ACT 1963,12.6869,77.6901
BYAGADADENAHALLI,2023,7,,THEFT,12.7347,77.7075
BYRAPURA,2020,10,,MISSING PERSON,13.2044,77.5591
BYRATHI CROSS,2021,12,,MISSING PERSON,13.0523,77.6491
BYRAWESHWARA NAGARA,2021,10,,CRUELTY BY HUSBAND,12.5748,77.3122
Babusabpalya,2019,1,,CHEATING,13.029,77.6552
Bagaluru Circle,2023,12,,MOTOR VEHICLE ACCIDENTS FATAL,13.1543,77.685
Banashankari,2016,,,Robbery,12.9117957,77.5826913
Banashankari,2017,,,Robbery,12.9174602,77.5670172
Banashankari,2017,,,Murder,12.88563257,77.5482591
Banashankari,2019,,,Attempted Murder,12.946432,77.578244
Banashankari,2018,,,Murder,12.94863301,77.57586657
Banashankari,2015,,,Attempted Murder,12.89991364,77.57249095
Banashankari IInd Stage,2022,12,,MISSING PERSON,12.9196,77.5633
Bandapura,2021,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0303,77.7279
Bandapura,2022,4,,THEFT,13.039,77.7417
Bandapura,2019,8,,MOTOR VEHICLE ACCIDENTS FATAL,13.0364,77.7363
Bandapura,2021,3,,THEFT,13.0467,77.7253
Bandapura,2021,4,,DACOITY,13.0351,77.7453
Bangalore One And Fifty Feet Road,2022,6,,CASES OF HURT,12.9596,77.5652
