Area,Year,Month,Time,Crime Type,Latitude,Longitude
MANGAMMANAPALYA,2022,2,,THEFT,12.9171,77.6137
MANIVILAS GARDEN,2019,10,,CHEATING,12.0985,77.5685
MARAGONDANAHALLI,2021,3,,MISSING PERSON,12.8203,77.6677
MARAGONDANAHALLI,2023,4,,MISSING PERSON,12.8395,77.6448
MARAGONDANAHALLI,2021,6,,THEFT,12.8304,77.6688
MARAGONDANAHALLI,2023,2,,CRIMINAL TRESPASS,12.8255,77.6743
MARAGONDANAHALLI,2024,2,,CONSUMER,12.8298,77.6647
MARAGONDANAHALLI,2019,12,,MISSING PERSON,12.8237,77.6765
MARAGONDANAHALLI,2023,6,,CHEATING,12.082,77.6638
MARAGONDANAHALLI,2019,8,,CRUELTY BY HUSBAND,12.8187,77.6651
MARAGONDANAHALLI,2019,7,,CRUELTY BY HUSBAND,12.8273,77.6789
MARAGONDANAHALLI,2022,8,,THEFT,12.8265,77.6777
MARASURU,2019,10,,CYBER CRIME,12.7885,77.7045
MARASURU,2020,10,,MISSING PERSON,12.7689,77.6947
MARATHALLI,2022,10,,THEFT,12.9643,77.7139
MARATHALLI,2022,11,,CRUELTY BY HUSBAND,12.9577,77.6821
MARKET CIRCLE,2019,12,,MISSING PERSON,12.9643,77.5772
MARKET CIRCLE,2020,3,,KARNATAKA POLICE ACT 1963,12.9654,77.5751
MARKET CIRCLE,2021,10,,BURGLARY - NIGHT,12.9659,77.5778
MARKET CIRCLE,2020,4,,Disobedience to Order Promulgated by PublicServan,12.9663,77.5769
MARKET CIRCLE,2017,10,,MISSING PERSON,12.9662,77.5751
MARUTHI EXTN,2023,2,,CHEATING,13.0054,77.5802
MARUTHI LAYOUT,2022,4,,MISSING PERSON,12.8983,77.548
MARUTHI NAGAR,2020,12,,CRUELTY BY HUSBAND,12.5817,77.3131
MARUTHI NAGAR,2018,11,,KIDNAPPING AND ABDUCTION,12.9602,77.5185
MARUTHI NAGAR,2020,10,,THEFT,12.9511,77.5227
MASTHENAHALLI,2019,5,,THEFT,12.8249,77.6844
MASTHENAHALLI,2019,5,,THEFT,12.8184,77.6903
MASTHENAHALLI,2021,11,,THEFT,12.8073,77.6633
MASTHENAHALLI,2019,12,,THEFT,12.8175,77.6892
MASTHENAHALLI,2019,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8271,77.6835
MASTHENAHALLI,2019,8,,BURGLARY - DAY,12.8154,77.6716
MASTHENAHALLI,2021,2,,DACOITY,12.8277,77.6753
MATADAHALLI,2023,8,,CYBER CRIME,13.0191,77.5942
MATADAHALLI,2023,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0145,77.5947
MATADAHALLI,2022,6,,MISSING PERSON,13.0143,77.5949
MATADAHALLI,2023,2,,MISSING PERSON,13.0274,77.5972
MAVALLI,2016,7,,CYBER CRIME,12.9562,77.5823
MAVALLI,2017,5,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",77.5801,12.9539
MAVALLI,2018,9,,CASES OF HURT,12.9563,77.5838
MEDURU,2023,12,,CHEATING,13.2031,77.9025
MEKHRI CIRCLE,2023,10,,PUBLIC SAFETY,13.0169,77.5839
MESTRI PALYA,2023,11,,THEFT,12.937,77.6269
MESTRU MANE CROSS,2021,4,,THEFT,13.3126,77.5338
MM TEMPAL,2019,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0196,77.7089
MM TEMPAL,2019,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9969,77.669
MODI ROAD,2017,8,,CrPC,13.0118,77.606
MODI ROAD,2022,5,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0171,77.6033
MODI ROAD,2019,3,,KIDNAPPING AND ABDUCTION,13.0124,77.6121
MODI ROAD,2018,8,,KIDNAPPING AND ABDUCTION,13.0097,77.6083
MODI ROAD,2018,5,,ATTEMPT TO MURDER,13.0124,77.6101
MODI ROAD,2018,1,,THEFT,13.0156,77.6097
MODI ROAD,2023,10,,MISSING PERSON,13.0136,77.6077
MODI ROAD,2017,9,,KIDNAPPING AND ABDUCTION,13.0118,77.606
MODI ROAD,2016,8,,POCSO,13.0112,77.6078
MODI ROAD,2016,10,,POCSO,13.0118,77.606
MOLENAGATHIHALLI,2021,8,,POCSO,13.1776,77.3669
MOLENAGATHIHALLI,2022,4,,Karnataka State Local Act,13.1598,77.3719
MUDDANAYAKANAHALLI,2021,9,,MISSING PERSON,13.2797,77.6256
MUKTHI NAGAR,2023,11,,CYBER CRIME,13.0074,77.6145
MUNESHWAR BLOCK SEVENTEEN MAIN TO MOHAN BAR ROAD,2023,7,,CRIMINAL TRESPASS,13.4512,77.8107
MUNESHWARA BLOCK THIRTEEN MAIN TO SEVENTEEN MAIN,2023,8,,CHEATING,12.9309,77.5474
MURUGESHPALYA,2016,12,,THEFT,12.5718,77.3912
MUTHAIANAPALYA,2022,6,,ROBBERY,13.2375,77.3231
MUTHANALLURU,2020,7,,MOTOR VEHICLE ACCIDENTS FATAL,12.8008,77.7131
MUTHANALLURU,2019,3,,KIDNAPPING AND ABDUCTION,12.8052,77.7136
MUTHANALLURU,2021,12,,MISSING PERSON,12.8025,77.7075
MUTTUKADAHALLI,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8851,77.8524
MVIT JUNCTION,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0,77.0
MYLASANDRA VILLAGE,2016,8,,THEFT,12.52,77.37
MYSORE BANK COLONY,2023,12,,MISSING PERSON,12.8863,77.5694
MYSROE ROAD,2022,10,,NEGLIGENT ACT,12.5555,77.5259
MYSROE ROAD,2024,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.5555,77.4689
Magadi Road,2020,2,,THEFT,12.9699,77.5583
Magadi Road,2017,7,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.969,77.5593
Magadi Road,2023,12,,CHEATING,12.5142,77.2541
Magadi Road,2021,6,,Karnataka State Local Act,12.9691,77.5592
Magadi Road,2019,5,,BURGLARY - NIGHT,12.9691,77.5592
Magadi Road,2023,11,,BURGLARY - NIGHT,12.486,77.4529
Magadi Road,2018,7,,SUICIDE,12.9719,77.5644
Magadi Road,2016,12,,ATTEMPT TO MURDER,12.9706,77.5561
Mahadevapura,2022,3,,THEFT,12.9949,77.6959
Mahadevapura,2023,10,,CRIMINAL TRESPASS,12.9969,77.6928
Mahalakshmi Layout,2024,2,,MISSING PERSON,13.0001,77.5238
Mahalakshmi Puram,2017,2,,CrPC,77.5411,13.006
Mahalakshmi Puram,2017,2,,CrPC,77.546,12.9978
Mahalakshmi layout,2022,11,,CRIMINAL TRESPASS,13.5456,77.5647
Mahalakshmi layout,2023,5,,ELECTION,13.5656,77.6566
Makanahalli,2021,8,,THEFT,13.0081,77.8317
Mallasandra,2020,7,,RAPE,12.9984,77.7901
Mallasandra,2020,1,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,13.0434,77.7915
Mallesh Palya,2016,6,,ROBBERY,77.6748,12.977
Malleshwara,2019,8,,BURGLARY - DAY,13.0064,77.568
Malleshwara,2016,8,,THEFT,12.0126,77.341
Malleshwara,2019,8,,THEFT,13.0086,77.5701
Malleswaram,2017,2,,CHEATING,13.0012,77.571
Malleswaram,2023,9,,CASES OF HURT,12.9955,77.5689
Manorayanapalya,2021,3,,THEFT,13.0251,77.6025
Manorayanapalya,2023,11,,MISSING PERSON,13.0058,77.601
Manorayanapalya,2022,10,,CHEATING,13.0361,77.5971
Marappanapalya,2017,1,,THEFT,77.5518,13.0195
Mariappanapalya,2017,10,,THEFT,12.9845,77.5565
Mariappanapalya,2018,12,,CASES OF HURT,12.985,77.5578
Mariappanapalya,2022,3,,THEFT,12.985,77.5578
Maruthi Layout,2024,2,,CASES OF HURT,13.0278,77.6465
Maruthi layout,2023,9,,MISSING PERSON,12.9136,77.6083
Maruthi layout,2020,12,,THEFT,12.918,77.6012
Medahalli,2022,7,,CRIMINAL INTIMIDATION,13.0099,77.7402
Military Area,2019,11,,CHEATING,77.5983,12.9659
Military Area,2020,2,,CHEATING,12.9681,77.6019
Muneshwa Block,2018,10,,MISCHIEF,12.9549,77.5508
Muneshwa Block,2016,12,,THEFT,12.9559,77.55
Muneshwa Block,2018,12,,MISSING PERSON,12.9616,77.5429
Muneshwara Layout,2018,5,,THEFT,13.0096,77.5229
Muneshwara Layout,2019,7,,MISSING PERSON,13.0158,77.5268
Muneshwara Layout,2018,9,,Karnataka State Local Act,13.0192,77.537
Muneshwara Layout,2017,11,,THEFT,13.0096,77.5229
Murphy Road,2019,8,,MOTOR VEHICLE ACCIDENTS FATAL,12.9778,77.6467
Muttachari Layout,2020,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9458,77.5282
N G E F,2022,1,,CRIMINAL INTIMIDATION,77.6612,12.9935
N G E F,2018,11,,CASES OF HURT,77.6532,12.9969
N M Lane,2023,3,,KARNATAKA POLICE ACT 1963,12.9722,77.5703
N.R COLONY,2018,3,,THEFT,12.9714,77.5786
N.R COLONY,2024,2,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.942,77.5743
NAGADEVANA HALLI,2023,6,,MOTOR VEHICLE ACCIDENTS FATAL,12.9378,77.4893
NAGANATHAPURA,2020,11,,MISSING PERSON,12.8895,77.6752
NAGANATHAPURA,2023,11,,CASES OF HURT,12.8541,77.6572
NAGAPPA BLCOK,2022,8,,MISSING PERSON,12.9944,77.563
NAGARABAVI VILLAGE,2023,5,,POCSO,12.9619,77.5106
NAGARABHAVI SECOND STAGE,2018,4,,CRIMINAL BREACH OF TRUST,12.9723,77.5235
NAGARABHAVI SECOND STAGE,2018,4,,ROBBERY,12.9723,77.5235
NAGARABHAVI VILLAGE,2019,3,,SUICIDE,12.9688,77.523
NAGARABHVI,2018,8,,THEFT,12.5644,77.3128
NAGARABHVI,2018,5,,CASES OF HURT,12.9444,77.5263
NAGARESHWARA NAGENAHALLI,2021,7,,MISSING PERSON,13.0622,77.6464
NAGARORU,2020,10,,MOTOR VEHICLE ACCIDENTS FATAL,13.1206,77.4232
NAGARORU,2021,7,,RIOTS,13.1037,77.4426
NAGASHETTYHALLI,2022,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0426,77.5749
NAGASHETTYHALLI,2019,1,,THEFT,12.9547,77.64
NAGASHETTYHALLI,2017,9,,Karnataka State Local Act,13.0453,77.5745
NAGASHETTYHALLI,2020,2,,MISSING PERSON,77.5745,13.0454
NANDINI LAYOUT,2023,4,,PUBLIC SAFETY,13.0191,77.5324
NANDINI LAYOUT,2017,6,,NEGLIGENT ACT,1.3016,7.75338
NANDINI LAYOUT,2017,10,,NEGLIGENT ACT,1.30542,7.73222
NANDINI LAYOUT,2023,7,,PUBLIC SAFETY,12.369,77.258
NANDINI LAYOUT,2023,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.4582,77.2569
NANDINI LAYOUT POLICE STATION,2017,12,,MISSING PERSON,13.0158,77.5268
NARASIMHA RAJA ROAD,2020,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9636,77.5854
NARASIMHANAHALLI,2021,1,,CASES OF HURT,13.2598,77.562
NATIONAL HIGHWAY ROAD KODI HUSKURU TO MEDAHALLI UPPER BRIDGE,2023,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.046,77.75
NATIONAL HIGHWAY ROAD KODI U TURN TO MYLAPURA GATE,2023,12,,MOTOR VEHICLE ACCIDENTS FATAL,13.0702,77.7831
NEHARU NAGAR,2021,5,,Karnataka State Local Act,12.988,77.5744
NES,2023,11,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",13.1001,77.5839
NEW BEL ROAD,2017,3,,PUBLIC SAFETY,13.0284,77.5714
NEW BYAPPANAHALLI,2022,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,77.6433,12.9916
NEW PATNOOLPET,2022,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9582,77.5758
NEW TARAGU PETE,2017,11,,THEFT,12.9542,77.5709
NIDAVANDA,2021,3,,BURGLARY - DAY,13.2343,77.258
NINTH BLOCK NAGARABHAVI KALYANA NAGAR BRIDGE SOUTH SIDE,2019,10,,Karnataka State Local Act,12.9682,77.5166
NOBO NAGAR,2016,10,,THEFT,12.5127,77.3557
NOBO NAGAR,2017,4,,CrPC,12.5149,77.3533
Nagadevanahalli,2024,1,,Karnataka State Local Act,12.9104,77.4842
Nagadevanahalli,2023,7,,THEFT,12.9223,77.4861
Nagarabhavi Ring Road,2022,2,,ATTEMPT TO MURDER,12.9561,77.52
Nagarabhavi Village,2021,12,,THEFT,12.5734,77.3056
Narasimhaiah Colony,2021,10,,KIDNAPPING AND ABDUCTION,12.9479,77.5423
Narasimhaiah Colony,2022,9,,CASES OF HURT,12.9369,77.5693
Narasimhaiah Compound,2022,12,,MISSING PERSON,12.9653,77.5616
Narasimhaiah Compound,2018,9,,BURGLARY - NIGHT,12.5758,77.332
Narasimhaiah Compound,2023,12,,CYBER CRIME,12.9648,77.5551
Narasimhaiah Compound,2017,12,,THEFT,12.5758,77.3309
Nayandahalli Junction,2020,8,,MISSING PERSON,12.9412,77.5242
Nayandahalli Junction,2020,9,,DACOITY,12.5479,77.5631
Nayandahalli Madduramma Temple and Railway Track,2021,4,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9462,77.5258
Nayandahlli,2023,3,,MISSING PERSON,12.9955,77.4685
Nayandahlli,2023,2,,KARNATAKA POLICE ACT 1963,12.9463,77.5302
Near Bhoomika Theatre,2024,1,,PUBLIC SAFETY,12.972,77.5717
Near Lakshmanapuri Bridge,2023,10,,PUBLIC SAFETY,12.9645,77.5717
Near Mantap Ice Cream,2023,9,,PUBLIC SAFETY,12.9598,77.5723
Near Movieland Theatre,2023,4,,PUBLIC SAFETY,12.9724,77.5721
Near Upparpet Police Station,2023,4,,PUBLIC SAFETY,12.9725,77.5721
Near Upparpet Police Station,2022,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9756,77.5748
Nelagadranahalli,2022,9,,THEFT,13.0265,77.4936
Nelagadranahalli,2022,7,,THEFT,13.0378,77.515
Nelagadranahalli,2020,2,,THEFT,77.4946,13.0457
Nelagadranahalli,2017,2,,THEFT,13.0191,77.4859
NethajiNagara,2020,7,,CASES OF HURT,12.9712,77.5595
NethajiNagara,2024,2,,CYBER CRIME,12.9679,77.5625
New Gurappanapalya,2021,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.926,77.6077
New Gurappanapalya,2021,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9251,77.6088
New Pension Lane,2017,5,,BURGLARY - NIGHT,12.5756,77.3316
New Pension Lane,2018,2,,THEFT,12.5701,77.3322
Nice road,2018,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8624,77.6482
Nice road,2021,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8591,77.656
Nimbekaipura,2020,12,,MISSING PERSON,13.0661,77.7468
Nimbekaipura,2021,5,,KARNATAKA POLICE ACT 1963,13.0419,77.7588
Nimbekaipura,2020,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0532,77.7559
Nimbekaipura,2023,7,,THEFT,13.0458,77.7513
Ninth A main,2023,8,,PUBLIC SAFETY,12.7605,77.6555
Ninth A main,2022,6,,PUBLIC SAFETY,12.9212,77.6024
O T PET,2022,4,,KARNATAKA POLICE ACT 1963,12.9657,77.576
O.T.PETE ROAD,2019,8,,COPY RIGHT ACT 1957,12.9663,77.5761
OKLIPURA,2023,3,,MISSING PERSON,12.9853,77.5715
OLD BYAPPANAHALLI,2019,2,,BURGLARY - DAY,12.9938,77.6443
OLD MADRAS ROAD NEAR BUS STAND,2018,6,,THEFT,13.0104,77.7034
OLD MADRAS ROAD NEAR BUS STAND,2020,2,,THEFT,13.0104,77.7028
OLD MADRAS ROAD NEAR BUS STAND,2016,7,,BURGLARY - DAY,13.0019,77.6964
OLD MADRAS ROAD NEAR BUS STAND,2018,3,,CrPC,13.0104,77.7034
OLD MADRAS ROAD NEAR BUS STAND,2018,7,,THEFT,13.0194,77.7149
ORC Road,2016,5,,ARSON,77.6192,12.9561
ORC Road,2016,10,,CrPC,12.9538,77.6199
ORC Road,2018,5,,Karnataka State Local Act,12.9598,77.6176
OTHER,2021,4,,THEFT,12.9121,77.6386
OTHER,2024,1,,CYBER CRIME,13.102,77.3884
OTHER,2024,1,,THEFT,12.9142,77.6271
OTHER,2022,5,,CYBER CRIME,13.0973,77.4013
OTHER,2021,9,,MISSING PERSON,13.3118,77.5326
OTHER,2023,12,,CYBER CRIME,13.2824,77.715
OTHER,2023,5,,CYBER CRIME,12.8025,77.714
OTHER,2024,3,,CYBER CRIME,13.0891,77.4104
OTHER,2023,12,,CYBER CRIME,13.0699,77.2449
OTHER,2022,5,,CYBER CRIME,12.846,77.6607
OTHER,2023,12,,POCSO,13.4086,77.5282
OTHER,2021,2,,MISSING PERSON,13.3065,77.5651
OTHER,2020,11,,MISSING PERSON,13.3469,77.644
OTHER,2022,4,,CRUELTY BY HUSBAND,13.28,77.5545
OTHER,2023,11,,CYBER CRIME,12.9123,77.6299
OTHER AREA,2024,1,,CYBER CRIME,12.9947,77.5427
OTHER P.S. LIMITS,2023,12,,CRUELTY BY HUSBAND,13.039,77.5109
OTHER PS LIMITS,2019,4,,Failure to appear to Court,77.5758,12.8702
OTHERS,2021,8,,ROBBERY,13.2313,77.6074
OUTER RING ROAD,2016,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.5663,77.4185
Old Airport Road,2018,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9659,77.6253
Old Airport Road,2023,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.946,77.64
Old Airport Road,2023,3,,MOTOR VEHICLE ACCIDENTS FATAL,12.9582,77.6413
Old byappanahalli,2016,4,,MISSING PERSON,77.641,12.9942
Old outer ring road,2024,2,,PUBLIC SAFETY,12.9441,77.4945
Other,2023,12,,CYBER CRIME,12.5588,77.5327
Other,2024,2,,CYBER CRIME,13.5269,77.7615
Other,2023,11,,CYBER CRIME,12.9822,77.684
Other,2023,10,,CYBER CRIME,12.948,77.6819
Other,2023,11,,CYBER CRIME,12.965,77.7075
Other,2024,1,,CYBER CRIME,12.9623,77.663
Other Jurisdiction,2023,12,,CYBER CRIME,12.8677,77.696
Others,2023,11,,CYBER CRIME,13.4377,77.7548
Others,2024,2,,CYBER CRIME,12.987,77.6482
P AND T COLONY,2022,9,,THEFT,13.0225,77.5928
P G ROAD,2022,8,,THEFT,12.9331,77.51
P.F Layout,2023,1,,CHEATING,12.9699,77.5325
P.F Layout,2023,1,,CRUELTY BY HUSBAND,12.9686,77.5322
P.P LAYOUT,2017,2,,PUBLIC SAFETY,77.5539,12.4089
P.P.Layout,2019,2,,THEFT,77.5521,12.907
P.P.Layout,2017,12,,THEFT,77.5438,12.9036
P.P.Layout,2017,7,,CrPC,77.5367,12.9113
PAAPA READY PALYA,2017,6,,THEFT,12.9681,77.5025
PAAPA READY PALYA,2019,2,,CHEATING,12.971,77.5086
PANCHMUKHI GANESH TEMPLE,2020,2,,PUBLIC SAFETY,13.0097,77.5408
PANCHMUKHI GANESH TEMPLE,2019,5,,CHEATING,13.01,77.5387
PANTHRAPALYA,2017,12,,THEFT,12.9521,77.5353
PANTHRAPALYA,2023,9,,THEFT,12.9566,77.5455
PANTHRAPALYA,2017,2,,THEFT,12.952,77.537
PANTHRAPALYA,2022,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9571,77.5434
PAPAREDDYPALY,2022,5,,THEFT,12.9234,77.4871
PARVATHIPURAM,2017,8,,MISSING PERSON,12.9558,77.5752
PATEL LAYOUT,2023,11,,MISSING PERSON,12.8834,77.6265
PATTALAMMA LAYOUT,2020,6,,THEFT,12.9961,77.7489
PEENYA INDUSTRIAL AREA,2017,7,,CrPC,13.0035,77.3022
PEENYA INDUSTRIAL AREA,2022,5,,NEGLIGENT ACT,77.5007,13.0102
PILLAGANAHALLI,2023,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8401,77.5808
PINDKUR THIMMANAHALLI,2020,12,,MURDER,13.3467,77.6236
PIPELINE,2022,6,,MISSING PERSON,12.9989,77.5759
PIPELINE,2022,10,,KARNATAKA POLICE ACT 1963,12.9976,77.581
PLACE ROAD GANDHINAGAR,2024,2,,CHEATING,12.9751,77.5791
POLANAHALLI,2021,12,,MOTOR VEHICLE ACCIDENTS FATAL,13.2483,77.7959
POORNAPURA.,2023,12,,THEFT,13.0437,77.5612
POST OFFICE,2023,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8946,77.5453
PRAKASHNAGAR,2023,8,,THEFT,12.9917,77.5577
PRASANTHANAGARA,2016,6,,CRIMES RELATED TO WOMEN,12.9718,77.5279
PRASHANTNAGARA,2023,8,,PUBLIC SAFETY,12.9807,77.5367
PRASHANTNAGARA,2022,1,,NEGLIGENT ACT,0.12975,0.775484
PULAKESHI NAGAR PS LIMITS,2023,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0008,77.6115
Padarayanapura,2017,10,,THEFT,12.5812,77.332
Panathuru,2024,2,,KIDNAPPING AND ABDUCTION,12.9316,77.6837
Panathuru,2024,1,,CYBER CRIME,12.9487,77.7149
Peenya Second Block,2021,11,,MISSING PERSON,13.0385,77.5131
Peenya Second Block,2024,2,,MISSING PERSON,13.0398,77.5173
Peenya Second Block,2022,7,,NEGLIGENT ACT,13.0366,77.5102
Peenya Second Block,2017,11,,THEFT,13.0371,77.5196
Peenya Village,2023,12,,THEFT,13.04,77.5189
Peenya Village,2017,12,,THEFT,13.0354,77.525
Peenya Village,2018,5,,MISSING PERSON,13.0324,77.5276
Peenya Village,2018,10,,ROBBERY,13.0354,77.525
Peenya Village,2023,10,,BURGLARY - NIGHT,13.0469,77.5227
Peenya Village,2021,12,,THEFT,13.0276,77.5261
Pipeline,2018,3,,CrPC,12.9989,77.5748
Police Road,2023,11,,ATTEMPT TO MURDER,12.9651,77.5727
Power House,2023,8,,CASES OF HURT,13.1995,77.7088
Pramod Layout,2023,4,,THEFT,12.9379,77.5298
Preethi Nagar,2018,12,,CHEATING,13.0127,77.5255
Preethi Nagar,2017,3,,POCSO,13.0181,77.5254
Preethi Nagar,2020,7,,MISSING PERSON,13.0187,77.5368
Preethi Nagar,2017,5,,MOLESTATION,13.0108,77.5221
Preethi Nagar,2022,4,,CASES OF HURT,13.0114,77.5253
Preethi Nagar,2022,12,,CHEATING,13.0079,77.5215
Preethi Nagar,2023,9,,CRIMINAL TRESPASS,13.0082,77.5241
Pujamma Circle,2023,9,,THEFT,12.5729,77.5508
Puttenahalli,2017,,,Ordinary Theft,12.95471784,77.57911889
Puttenahalli,2015,,,Ordinary Theft,12.921303,77.549263
Puttenahalli,2016,,,Ordinary Theft,12.9512837,77.57745377
QUADRANT CIRCLE POLICE OUT POST,2024,1,,THEFT,12.9827,77.6057
R G HALLI SIIAPURA TUBARAHALLI,2023,11,,CYBER CRIME,12.9532,77.7167
R G HALLI SIIAPURA TUBARAHALLI,2023,6,,MISSING PERSON,12.952,77.7209
R G HALLI SIIAPURA TUBARAHALLI,2016,6,,MISSING PERSON,12.9559,77.7401
R G HALLI SIIAPURA TUBARAHALLI,2021,12,,THEFT,12.9544,77.7091
R G HALLI SIIAPURA TUBARAHALLI,2023,10,,CYBER CRIME,12.9496,77.7187
R K LAYOUT,2022,6,,Failure to appear to Court,12.9139,77.5588
R M C YARD,2019,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0305,77.5372
R M C YARD,2023,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0328,77.5334
R M C YARD,2017,12,,PUBLIC SAFETY,13.028,77.5619
R M C YARD,2016,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1579,77.3211
R M C YARD,2018,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.016,77.5536
R M C YARD,2018,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0188,77.5532
R M C YARD,2023,8,,PUBLIC SAFETY,13.0368,77.5417
R M C YARD,2019,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0183,77.5532
R M C YARD,2018,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0314,77.5305
R M C YARD,2017,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0185,77.5578
R M C YARD,2017,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0291,77.5393
R M C YARD,2017,8,,NEGLIGENT ACT,13.0303,77.537
R M C YARD,2017,9,,MOTOR VEHICLE ACCIDENTS FATAL,13.0192,77.5531
R M C YARD,2017,1,,NEGLIGENT ACT,13.0192,77.5531
R M C YARD,2023,4,,PUBLIC SAFETY,13.0231,77.563
R M C YARD,2023,8,,PUBLIC SAFETY,13.0263,77.5619
R M C YARD,2017,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0185,77.5578
R M C YARD,2023,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0161,77.5562
R M C YARD,2023,9,,MOTOR VEHICLE ACCIDENTS FATAL,13.0263,77.5619
R M C YARD,2017,3,,PUBLIC SAFETY,13.0242,77.5484
R M C YARD,2021,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0291,77.54
R P C LAYOUT,2017,9,,NEGLIGENT ACT,0.129861,0.775373
R P C LAYOUT,2023,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9723,77.5455
R P C LAYOUT,2016,11,,PUBLIC SAFETY,0.129731,0.775382
R P C LAYOUT,2022,11,,PUBLIC SAFETY,12.9685,77.5358
R V Road,2019,7,,CHEATING,12.9448,77.5788
R V SHETTY LAYOUT,2021,5,,Karnataka State Local Act,12.9846,77.5746
R V SHETTY LAYOUT,2021,9,,BURGLARY - DAY,12.9807,77.5747
R.B.I LAYOUT,2022,5,,CRIMES RELATED TO WOMEN,12.9137,77.5411
R.K Matta,2016,12,,THEFT,12.9516,77.5673
R.K Matta,2017,4,,KARNATAKA POLICE ACT 1963,12.9526,77.5665
R.K.HEGADE NAGAR,2023,11,,NEGLIGENT ACT,13.0669,77.639
R.P.C.LAYOUT,2018,5,,MISSING PERSON,12.573,77.3158
R.P.C.LAYOUT,2024,2,,MOLESTATION,12.9615,77.5338
R.R.NAGARA,2020,3,,CRIMINAL TRESPASS,12.4599,77.457
R.R.NAGARA,2019,10,,FORGERY,12.1549,77.1548
R.R.NAGARA,2019,12,,THEFT,12.9303,77.5103
R.R.NAGARA,2022,2,,CRIMINAL INTIMIDATION,12.5875,77.3659
R.R.NAGARA,2017,8,,THEFT,12.9019,77.5271
R.R.NAGARA,2021,6,,ROBBERY,12.6987,77.126
R.R.NAGARA,2019,5,,THEFT,12.9087,77.5232
R.R.NAGARA,2023,10,,CYBER CRIME,12.9257,77.5271
R.T.nagar,2016,12,,PUBLIC SAFETY,13.0393,77.5895
R.T.nagar,2017,4,,NEGLIGENT ACT,13.0332,77.8817
R.T.nagar,2016,7,,PUBLIC SAFETY,13.0393,77.5898
R.T.nagar,2017,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0256,77.5857
R.T.nagar,2017,6,,NEGLIGENT ACT,13.0332,77.8817
R.T.nagar,2021,8,,NEGLIGENT ACT,13.0386,77.5895
R.T.nagar,2017,2,,NEGLIGENT ACT,13.0332,77.8817
R.T.nagar,2016,8,,PUBLIC SAFETY,13.0393,77.5895
